Deterministic, Owner, OTP_AHC_V01_Default_Value, OTP Address Name, AHB Address Name, AHB Read Value, OTP DataBase Value
Default,SYSTEM,0,OTP_HOST_INTERFACE_MASTER_WRITE_ADDRESS_13,HOST_INTERFACE_SPMI_REGISTERS_INTERRUPT_ADDR.MASTER_WRITE_ADDRESS,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_OFFSET_VALUE_14,HOST_INTERFACE_SPMI_REGISTERS_INTERRUPT_OFFSET.OFFSET_VALUE,0,0,
Default,SYSTEM,1,OTP_HOST_INTERFACE_MASTER_WRITE_ADDRESS_FOR_VIRTUAL_WIRES_15,HOST_INTERFACE_SPMI_REGISTERS_INTERRUPT_VW_ADDR.MASTER_WRITE_ADDRESS_FOR_VIRTUAL_WIRES,1,1,
Default,SYSTEM,0,OTP_HOST_INTERFACE_SR_HOLD_EN_16,HOST_INTERFACE_SPMI_REGISTERS_ARB_REQ_HOLD_CTRL.SR_HOLD_EN,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_A_HOLD_EN_16,HOST_INTERFACE_SPMI_REGISTERS_ARB_REQ_HOLD_CTRL.A_HOLD_EN,0,0,
Default,SYSTEM,14,OTP_HOST_INTERFACE_SLAVE_ID2_NONPRIV_17,HOST_INTERFACE_SPMI_REGISTERS_SPMI_DUAL_SLAVE_ID.SLAVE_ID2_NONPRIV,14,14,
Default,SYSTEM,1,OTP_HOST_INTERFACE_SLAVE_ID2_EN_17,HOST_INTERFACE_SPMI_REGISTERS_SPMI_DUAL_SLAVE_ID.SLAVE_ID2_EN,1,1,
Default,SYSTEM,0,OTP_HOST_INTERFACE_SLAVE_ID2_GSID_17,HOST_INTERFACE_SPMI_REGISTERS_SPMI_DUAL_SLAVE_ID.SLAVE_ID2_GSID,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_TO_CRASH_EN_18,HOST_INTERFACE_SPMI_REGISTERS_ERROR_CTRL.TO_CRASH_EN,0,0,
Default,SYSTEM,1,OTP_HOST_INTERFACE_NACK_CRASH_EN_18,HOST_INTERFACE_SPMI_REGISTERS_ERROR_CTRL.NACK_CRASH_EN,1,1,
Default,SYSTEM,3,OTP_HOST_INTERFACE_NACK_RETRY_CNT_18,HOST_INTERFACE_SPMI_REGISTERS_ERROR_CTRL.NACK_RETRY_CNT,3,3,
Default,SYSTEM,0,OTP_HOST_INTERFACE_CMD_PARITY_CRASH_EN_18,HOST_INTERFACE_SPMI_REGISTERS_ERROR_CTRL.CMD_PARITY_CRASH_EN,0,0,
Default,SYSTEM,193,OTP_HOST_INTERFACE_COUNTER_THRESH_19,HOST_INTERFACE_SPMI_REGISTERS_COUNTER_THRESH.COUNTER_THRESH,193,193,
Default,DESIGN,0,OTP_HOST_INTERFACE_FORCE_SPMI_ENABLE_20,HOST_INTERFACE_SPMI_REGISTERS_SPMI_MISC.FORCE_SPMI_ENABLE,0,0,
Default,DESIGN,0,OTP_HOST_INTERFACE_FORCE_SPMI_ENABLE_VAL_20,HOST_INTERFACE_SPMI_REGISTERS_SPMI_MISC.FORCE_SPMI_ENABLE_VAL,0,0,
Default,DESIGN,0,OTP_HOST_INTERFACE_FORCE_DISABLE_SPMI_20,HOST_INTERFACE_SPMI_REGISTERS_SPMI_MISC.FORCE_DISABLE_SPMI,0,0,
Default,DESIGN,0,OTP_HOST_INTERFACE_FORCE_SDAT_OE_21,HOST_INTERFACE_SPMI_REGISTERS_SPMI_TEST.FORCE_SDAT_OE,0,0,
Default,DESIGN,0,OTP_HOST_INTERFACE_FORCE_SDAT_OUT_21,HOST_INTERFACE_SPMI_REGISTERS_SPMI_TEST.FORCE_SDAT_OUT,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_FORCE_RCS_RESP_ACK_21,HOST_INTERFACE_SPMI_REGISTERS_SPMI_TEST.FORCE_RCS_RESP_ACK,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_VW_MODE_22,HOST_INTERFACE_EVENT_HANDLER_EH_CONFIG.VW_MODE,0,0,
Default,SYSTEM,1,OTP_HOST_INTERFACE_LATE_UPDATE_22,HOST_INTERFACE_EVENT_HANDLER_EH_CONFIG.LATE_UPDATE,1,1,
Default,DESIGN,0,OTP_HOST_INTERFACE_DISABLE_RR_22,HOST_INTERFACE_EVENT_HANDLER_EH_CONFIG.DISABLE_RR,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_VW_SOURCE_7_0_23,HOST_INTERFACE_EVENT_HANDLER_VW_SOURCE_7_0.VW_SOURCE_7_0,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_VW_SOURCE_15_8_24,HOST_INTERFACE_EVENT_HANDLER_VW_SOURCE_15_8.VW_SOURCE_15_8,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO_REG_EVT7_EVT0_25,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO_REG_EVT7_EVT0.EVT_PRIO_REG_EVT7_EVT0,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO_REG_EVT15_EVT8_26,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO_REG_EVT15_EVT8.EVT_PRIO_REG_EVT15_EVT8,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO_REG_EVT23_EVT16_27,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO_REG_EVT23_EVT16.EVT_PRIO_REG_EVT23_EVT16,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO_REG_EVT31_EVT24_28,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO_REG_EVT31_EVT24.EVT_PRIO_REG_EVT31_EVT24,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO_REG_EVT39_EVT32_29,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO_REG_EVT39_EVT32.EVT_PRIO_REG_EVT39_EVT32,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO_REG_EVT47_EVT40_30,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO_REG_EVT47_EVT40.EVT_PRIO_REG_EVT47_EVT40,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO_REG_EVT55_EVT48_31,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO_REG_EVT55_EVT48.EVT_PRIO_REG_EVT55_EVT48,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO_REG_EVT63_EVT56_32,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO_REG_EVT63_EVT56.EVT_PRIO_REG_EVT63_EVT56,0,0,
Default,SYSTEM,255,OTP_HOST_INTERFACE_EVT_PRIO_REG_EVT199_EVT192_33,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO_REG_EVT199_EVT192.EVT_PRIO_REG_EVT199_EVT192,255,255,
Default,SYSTEM,255,OTP_HOST_INTERFACE_EVT_PRIO_REG_EVT207_EVT200_34,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO_REG_EVT207_EVT200.EVT_PRIO_REG_EVT207_EVT200,255,255,
Default,SYSTEM,255,OTP_HOST_INTERFACE_EVT_PRIO_REG_EVT215_EVT208_35,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO_REG_EVT215_EVT208.EVT_PRIO_REG_EVT215_EVT208,255,255,
Default,SYSTEM,255,OTP_HOST_INTERFACE_EVT_PRIO_REG_EVT223_EVT216_36,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO_REG_EVT223_EVT216.EVT_PRIO_REG_EVT223_EVT216,255,255,
Default,SYSTEM,255,OTP_HOST_INTERFACE_EVT_PRIO_REG_EVT231_EVT224_37,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO_REG_EVT231_EVT224.EVT_PRIO_REG_EVT231_EVT224,255,255,
Default,SYSTEM,255,OTP_HOST_INTERFACE_EVT_PRIO_REG_EVT239_EVT232_38,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO_REG_EVT239_EVT232.EVT_PRIO_REG_EVT239_EVT232,255,255,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO2_REG_EVT7_EVT0_39,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO2_REG_EVT7_EVT0.EVT_PRIO2_REG_EVT7_EVT0,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO2_REG_EVT15_EVT8_40,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO2_REG_EVT15_EVT8.EVT_PRIO2_REG_EVT15_EVT8,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO2_REG_EVT23_EVT16_41,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO2_REG_EVT23_EVT16.EVT_PRIO2_REG_EVT23_EVT16,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO2_REG_EVT31_EVT24_42,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO2_REG_EVT31_EVT24.EVT_PRIO2_REG_EVT31_EVT24,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO2_REG_EVT39_EVT32_43,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO2_REG_EVT39_EVT32.EVT_PRIO2_REG_EVT39_EVT32,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO2_REG_EVT47_EVT40_44,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO2_REG_EVT47_EVT40.EVT_PRIO2_REG_EVT47_EVT40,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO2_REG_EVT55_EVT48_45,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO2_REG_EVT55_EVT48.EVT_PRIO2_REG_EVT55_EVT48,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO2_REG_EVT63_EVT56_46,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO2_REG_EVT63_EVT56.EVT_PRIO2_REG_EVT63_EVT56,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO2_REG_EVT199_EVT192_47,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO2_REG_EVT199_EVT192.EVT_PRIO2_REG_EVT199_EVT192,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO2_REG_EVT207_EVT200_48,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO2_REG_EVT207_EVT200.EVT_PRIO2_REG_EVT207_EVT200,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO2_REG_EVT215_EVT208_49,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO2_REG_EVT215_EVT208.EVT_PRIO2_REG_EVT215_EVT208,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO2_REG_EVT223_EVT216_50,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO2_REG_EVT223_EVT216.EVT_PRIO2_REG_EVT223_EVT216,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO2_REG_EVT231_EVT224_51,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO2_REG_EVT231_EVT224.EVT_PRIO2_REG_EVT231_EVT224,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_EVT_PRIO2_REG_EVT239_EVT232_52,HOST_INTERFACE_EVENT_HANDLER_EVT_PRIO2_REG_EVT239_EVT232.EVT_PRIO2_REG_EVT239_EVT232,0,0,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_THROTTLE_TRIGGER0_L_OUTEN_53,GPIO_GCB_IO_CONDITIONER_OUT_CFG1.CONDITIONER_THROTTLE_TRIGGER0_L_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_THROTTLE_TRIGGER1_L_OUTEN_53,GPIO_GCB_IO_CONDITIONER_OUT_CFG1.CONDITIONER_THROTTLE_TRIGGER1_L_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_THROTTLE_TRIGGER2_L_OUTEN_53,GPIO_GCB_IO_CONDITIONER_OUT_CFG1.CONDITIONER_THROTTLE_TRIGGER2_L_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_THROTTLE_TRIGGER3_L_OUTEN_53,GPIO_GCB_IO_CONDITIONER_OUT_CFG1.CONDITIONER_THROTTLE_TRIGGER3_L_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_VDDMAIN_UVWARN_L_OUTEN_53,GPIO_GCB_IO_CONDITIONER_OUT_CFG1.CONDITIONER_VDDMAIN_UVWARN_L_OUTEN,1,1,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_WAKE2MS_OUTEN_53,GPIO_GCB_IO_CONDITIONER_OUT_CFG1.CONDITIONER_WAKE2MS_OUTEN,0,0,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_BTNO1_OUTEN_54,GPIO_GCB_IO_CONDITIONER_OUT_CFG2.CONDITIONER_BTNO1_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_BTNO2_OUTEN_54,GPIO_GCB_IO_CONDITIONER_OUT_CFG2.CONDITIONER_BTNO2_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_BTNO3_OUTEN_54,GPIO_GCB_IO_CONDITIONER_OUT_CFG2.CONDITIONER_BTNO3_OUTEN,1,1,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_SGPIO_READY_REQ_OUTEN_54,GPIO_GCB_IO_CONDITIONER_OUT_CFG2.CONDITIONER_SGPIO_READY_REQ_OUTEN,0,0,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_DBLCLICK_DET_OUTEN_55,GPIO_GCB_IO_CONDITIONER_OUT_CFG3.CONDITIONER_DBLCLICK_DET_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_ACTIVE_READY_OUTEN_55,GPIO_GCB_IO_CONDITIONER_OUT_CFG3.CONDITIONER_ACTIVE_READY_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_SYS_ALIVE_OUTEN_55,GPIO_GCB_IO_CONDITIONER_OUT_CFG3.CONDITIONER_SYS_ALIVE_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_SLP32K_OUTEN_55,GPIO_GCB_IO_CONDITIONER_OUT_CFG3.CONDITIONER_SLP32K_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_OUT32K_OUTEN_55,GPIO_GCB_IO_CONDITIONER_OUT_CFG3.CONDITIONER_OUT32K_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_SWD_TMS_OUTEN_55,GPIO_GCB_IO_CONDITIONER_OUT_CFG3.CONDITIONER_SWD_TMS_OUTEN,1,1,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO0_OUTEN_56,GPIO_GCB_IO_CONDITIONER_OUT_CFG4.CONDITIONER_GPIO0_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO1_OUTEN_56,GPIO_GCB_IO_CONDITIONER_OUT_CFG4.CONDITIONER_GPIO1_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO2_OUTEN_56,GPIO_GCB_IO_CONDITIONER_OUT_CFG4.CONDITIONER_GPIO2_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO3_OUTEN_56,GPIO_GCB_IO_CONDITIONER_OUT_CFG4.CONDITIONER_GPIO3_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO4_OUTEN_56,GPIO_GCB_IO_CONDITIONER_OUT_CFG4.CONDITIONER_GPIO4_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO5_OUTEN_56,GPIO_GCB_IO_CONDITIONER_OUT_CFG4.CONDITIONER_GPIO5_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO6_OUTEN_56,GPIO_GCB_IO_CONDITIONER_OUT_CFG4.CONDITIONER_GPIO6_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO7_OUTEN_56,GPIO_GCB_IO_CONDITIONER_OUT_CFG4.CONDITIONER_GPIO7_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO8_OUTEN_57,GPIO_GCB_IO_CONDITIONER_OUT_CFG5.CONDITIONER_GPIO8_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO9_OUTEN_57,GPIO_GCB_IO_CONDITIONER_OUT_CFG5.CONDITIONER_GPIO9_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO10_OUTEN_57,GPIO_GCB_IO_CONDITIONER_OUT_CFG5.CONDITIONER_GPIO10_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO11_OUTEN_57,GPIO_GCB_IO_CONDITIONER_OUT_CFG5.CONDITIONER_GPIO11_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO12_OUTEN_57,GPIO_GCB_IO_CONDITIONER_OUT_CFG5.CONDITIONER_GPIO12_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO13_OUTEN_57,GPIO_GCB_IO_CONDITIONER_OUT_CFG5.CONDITIONER_GPIO13_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO14_OUTEN_57,GPIO_GCB_IO_CONDITIONER_OUT_CFG5.CONDITIONER_GPIO14_OUTEN,0,0,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_GPIO15_OUTEN_57,GPIO_GCB_IO_CONDITIONER_OUT_CFG5.CONDITIONER_GPIO15_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_GPIO16_OUTEN_58,GPIO_GCB_IO_CONDITIONER_OUT_CFG6.CONDITIONER_GPIO16_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_GPIO17_OUTEN_58,GPIO_GCB_IO_CONDITIONER_OUT_CFG6.CONDITIONER_GPIO17_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_GPIO18_OUTEN_58,GPIO_GCB_IO_CONDITIONER_OUT_CFG6.CONDITIONER_GPIO18_OUTEN,1,1,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO19_OUTEN_58,GPIO_GCB_IO_CONDITIONER_OUT_CFG6.CONDITIONER_GPIO19_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO20_OUTEN_58,GPIO_GCB_IO_CONDITIONER_OUT_CFG6.CONDITIONER_GPIO20_OUTEN,0,0,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_GPIO21_OUTEN_58,GPIO_GCB_IO_CONDITIONER_OUT_CFG6.CONDITIONER_GPIO21_OUTEN,1,1,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO22_OUTEN_58,GPIO_GCB_IO_CONDITIONER_OUT_CFG6.CONDITIONER_GPIO22_OUTEN,0,0,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_GPIO23_OUTEN_58,GPIO_GCB_IO_CONDITIONER_OUT_CFG6.CONDITIONER_GPIO23_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_GPIO24_OUTEN_59,GPIO_GCB_IO_CONDITIONER_OUT_CFG7.CONDITIONER_GPIO24_OUTEN,1,1,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO25_OUTEN_59,GPIO_GCB_IO_CONDITIONER_OUT_CFG7.CONDITIONER_GPIO25_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_GPIO26_OUTEN_59,GPIO_GCB_IO_CONDITIONER_OUT_CFG7.CONDITIONER_GPIO26_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_SCRASH_L_OUTEN_59,GPIO_GCB_IO_CONDITIONER_OUT_CFG7.CONDITIONER_SCRASH_L_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_CRASH_L_OUTEN_59,GPIO_GCB_IO_CONDITIONER_OUT_CFG7.CONDITIONER_CRASH_L_OUTEN,0,0,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_FAULT_OUT_L_OUTEN_59,GPIO_GCB_IO_CONDITIONER_OUT_CFG7.CONDITIONER_FAULT_OUT_L_OUTEN,0,0,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_RESET_L_OUTEN_59,GPIO_GCB_IO_CONDITIONER_OUT_CFG7.CONDITIONER_RESET_L_OUTEN,1,1,
Default,SYSTEM,1,OTP_GPIO_CONDITIONER_FORCE_DFU_OUTEN_60,GPIO_GCB_IO_CONDITIONER_OUT_CFG8.CONDITIONER_FORCE_DFU_OUTEN,1,1,
Default,SYSTEM,0,OTP_GPIO_CONDITIONER_OFF_REQ_OUTEN_60,GPIO_GCB_IO_CONDITIONER_OUT_CFG8.CONDITIONER_OFF_REQ_OUTEN,0,0,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_OTP_SEL_INEN_61,GPIO_GCB_IO_CONDITIONER_IN_CFG1.CONDITIONER_OTP_SEL_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_WAKE2MS_INEN_61,GPIO_GCB_IO_CONDITIONER_IN_CFG1.CONDITIONER_WAKE2MS_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_SGPIO_READY_REQ_INEN_62,GPIO_GCB_IO_CONDITIONER_IN_CFG2.CONDITIONER_SGPIO_READY_REQ_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_BTN1_INEN_62,GPIO_GCB_IO_CONDITIONER_IN_CFG2.CONDITIONER_BTN1_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_BTN2_INEN_62,GPIO_GCB_IO_CONDITIONER_IN_CFG2.CONDITIONER_BTN2_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_BTN3_INEN_62,GPIO_GCB_IO_CONDITIONER_IN_CFG2.CONDITIONER_BTN3_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_BTN4_INEN_62,GPIO_GCB_IO_CONDITIONER_IN_CFG2.CONDITIONER_BTN4_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_SWD_TMS_INEN_63,GPIO_GCB_IO_CONDITIONER_IN_CFG3.CONDITIONER_SWD_TMS_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_GPIO0_INEN_64,GPIO_GCB_IO_CONDITIONER_IN_CFG4.CONDITIONER_GPIO0_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_GPIO1_INEN_64,GPIO_GCB_IO_CONDITIONER_IN_CFG4.CONDITIONER_GPIO1_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_GPIO2_INEN_64,GPIO_GCB_IO_CONDITIONER_IN_CFG4.CONDITIONER_GPIO2_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_GPIO3_INEN_64,GPIO_GCB_IO_CONDITIONER_IN_CFG4.CONDITIONER_GPIO3_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_GPIO4_INEN_64,GPIO_GCB_IO_CONDITIONER_IN_CFG4.CONDITIONER_GPIO4_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_GPIO5_INEN_64,GPIO_GCB_IO_CONDITIONER_IN_CFG4.CONDITIONER_GPIO5_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_GPIO6_INEN_64,GPIO_GCB_IO_CONDITIONER_IN_CFG4.CONDITIONER_GPIO6_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_GPIO7_INEN_64,GPIO_GCB_IO_CONDITIONER_IN_CFG4.CONDITIONER_GPIO7_INEN,1,1,
Default,CHIPLEAD,1,OTP_GPIO_CONDITIONER_GPIO8_INEN_65,GPIO_GCB_IO_CONDITIONER_IN_CFG5.CONDITIONER_GPIO8_INEN,1,1,
