DTChanMap,version=2.6:platform=Jaguar:toprow=-1:leftcol=-1:rightcol=-1:dataformat=signal	Channel Map

	DIB ID:			View Mode:	
	USL Tag:
	Device Under Test		Tester Channel
	Pin Name	Package Pin	Type	Site 0	Site 1	Comment
	IBAT_UVI80		DCVI	19.sense10	7.sense10	
	IBAT_UVI80_DM		DCDiffMeter	19.sense10	7.sense10	
	IBAT_UVI80_DT		DCTime	19.sense10	7.sense10	
	IDAC_11_6_10_BUS_UVI80		DCVI	19.sense32	7.sense37	
	IDAC_11_6_10_BUS_UVI80_DM		DCDiffMeter	19.sense32	7.sense37	
	IDAC_11_6_10_BUS_UVI80_DT		DCTime	19.sense32	7.sense37	
	IDAC_11_6_11_BUS_UVI80		DCVI	S:IDAC_11_6_10_BUS_UVI80	S:IDAC_11_6_10_BUS_UVI80	
	IDAC_11_6_11_BUS_UVI80_DM		DCDiffMeter	S:IDAC_11_6_10_BUS_UVI80_DM	S:IDAC_11_6_10_BUS_UVI80_DM	
	IDAC_11_6_11_BUS_UVI80_DT		DCTime	S:IDAC_11_6_10_BUS_UVI80_DT	S:IDAC_11_6_10_BUS_UVI80_DT	
	IDAC_11_6_6_BUS_UVI80		DCVI	S:IDAC_11_6_10_BUS_UVI80	S:IDAC_11_6_10_BUS_UVI80	
	IDAC_11_6_6_BUS_UVI80_DM		DCDiffMeter	S:IDAC_11_6_10_BUS_UVI80_DM	S:IDAC_11_6_10_BUS_UVI80_DM	
	IDAC_11_6_6_BUS_UVI80_DT		DCTime	S:IDAC_11_6_10_BUS_UVI80_DT	S:IDAC_11_6_10_BUS_UVI80_DT	
	IDAC_11_6_7_BUS_UVI80		DCVI	S:IDAC_11_6_10_BUS_UVI80	S:IDAC_11_6_10_BUS_UVI80	
	IDAC_11_6_7_BUS_UVI80_DM		DCDiffMeter	S:IDAC_11_6_10_BUS_UVI80_DM	S:IDAC_11_6_10_BUS_UVI80_DM	
	IDAC_11_6_7_BUS_UVI80_DT		DCTime	S:IDAC_11_6_10_BUS_UVI80_DT	S:IDAC_11_6_10_BUS_UVI80_DT	
	IDAC_11_6_8_BUS_UVI80		DCVI	S:IDAC_11_6_10_BUS_UVI80	S:IDAC_11_6_10_BUS_UVI80	
	IDAC_11_6_8_BUS_UVI80_DM		DCDiffMeter	S:IDAC_11_6_10_BUS_UVI80_DM	S:IDAC_11_6_10_BUS_UVI80_DM	
	IDAC_11_6_8_BUS_UVI80_DT		DCTime	S:IDAC_11_6_10_BUS_UVI80_DT	S:IDAC_11_6_10_BUS_UVI80_DT	
	IDAC_11_6_9_BUS_UVI80		DCVI	S:IDAC_11_6_10_BUS_UVI80	S:IDAC_11_6_10_BUS_UVI80	
	IDAC_11_6_9_BUS_UVI80_DM		DCDiffMeter	S:IDAC_11_6_10_BUS_UVI80_DM	S:IDAC_11_6_10_BUS_UVI80_DM	
	IDAC_11_6_9_BUS_UVI80_DT		DCTime	S:IDAC_11_6_10_BUS_UVI80_DT	S:IDAC_11_6_10_BUS_UVI80_DT	
	IDAC_17_12_1_BUS_UVI80		DCVI	19.sense37	7.sense63	
	IDAC_17_12_1_BUS_UVI80_DM		DCDiffMeter	19.sense37	7.sense63	
	IDAC_17_12_1_BUS_UVI80_DT		DCTime	19.sense37	7.sense63	
	IDAC_5_0_BUS_UVI80		DCVI	19.sense63	7.sense32	
	IDAC_5_0_BUS_UVI80_DM		DCDiffMeter	19.sense63	7.sense32	
	IDAC_5_0_BUS_UVI80_DT		DCTime	19.sense63	7.sense32	
	IDAC_OUT_0_DC30		DCVI	11.sense15	11.sense9	
	IDAC_OUT_0_DC30_DM		DCDiffMeter	11.sense15	11.sense9	
	IDAC_OUT_0_DC30_DT		DCTime	11.sense15	11.sense9	
	IDAC_OUT_0_UVI80		DCVI	19.sense22	7.sense22	
	IDAC_OUT_0_UVI80_DM		DCDiffMeter	19.sense22	7.sense22	
	IDAC_OUT_0_UVI80_DT		DCTime	19.sense22	7.sense22	
	IDAC_OUT_1_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_1_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_1_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_1_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_1_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_1_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_10_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_10_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_10_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_10_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_10_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_10_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_11_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_11_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_11_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_11_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_11_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_11_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_12_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_12_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_12_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_12_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_12_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_12_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_13_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_13_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_13_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_13_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_13_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_13_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_14_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_14_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_14_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_14_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_14_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_14_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_15_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_15_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_15_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_15_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_15_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_15_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_16_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_16_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_16_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_16_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_16_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_16_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_17_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_17_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_17_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_17_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_17_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_17_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_2_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_2_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_2_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_2_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_2_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_2_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_3_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_3_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_3_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_3_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_3_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_3_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_4_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_4_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_4_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_4_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_4_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_4_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_5_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_5_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_5_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_5_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_5_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_5_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_6_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_6_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_6_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_6_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_6_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_6_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_7_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_7_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_7_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_7_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_7_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_7_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_8_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_8_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_8_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_8_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_8_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_8_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IDAC_OUT_9_DC30		DCVI	S:IDAC_OUT_0_DC30	S:IDAC_OUT_0_DC30	
	IDAC_OUT_9_DC30_DM		DCDiffMeter	S:IDAC_OUT_0_DC30_DM	S:IDAC_OUT_0_DC30_DM	
	IDAC_OUT_9_DC30_DT		DCTime	S:IDAC_OUT_0_DC30_DT	S:IDAC_OUT_0_DC30_DT	
	IDAC_OUT_9_UVI80		DCVI	S:IDAC_OUT_0_UVI80	S:IDAC_OUT_0_UVI80	
	IDAC_OUT_9_UVI80_DM		DCDiffMeter	S:IDAC_OUT_0_UVI80_DM	S:IDAC_OUT_0_UVI80_DM	
	IDAC_OUT_9_UVI80_DT		DCTime	S:IDAC_OUT_0_UVI80_DT	S:IDAC_OUT_0_UVI80_DT	
	IREF_UVI80		DCVI	19.sense5	7.sense14	
	IREF_UVI80_DM		DCDiffMeter	19.sense5	7.sense14	
	IREF_UVI80_DT		DCTime	19.sense5	7.sense14	
	K1001		Utility	24.util87	site0	
	K1002		Utility	24.util119	site0	
	K1003		Utility	24.util52	site0	
	K1004		Utility	24.util40	site0	
	K1005		Utility	24.util112	site0	
	K1006		Utility	24.util117	site0	
	K1007		Utility	24.util33	site0	
	K1008		Utility	24.util37	site0	
	K1009		Utility	24.util60	site0	
	K1010		Utility	24.util48	site0	
	K1011		Utility	24.util50	site0	
	K1012		Utility	24.util57	site0	
	K1013		Utility	24.util118	site0	
	K1014		Utility	24.util116	site0	
	K1015		Utility	24.util122	site0	
	K1016		Utility	24.util126	site0	
	K1017		Utility	24.util90	site0	
	K1018		Utility	24.util107	site0	
	K1019		Utility	24.util123	site0	
	K1020		Utility	24.util121	site0	
	K1021		Utility	24.util45	site0	
	K1022		Utility	24.util43	site0	
	K1023		Utility	24.util19	site0	
	K1024		Utility	24.util20	site0	
	K1025		Utility	24.util41	site0	
	K1026		Utility	24.util120	site0	
	K1027		Utility	24.util111	site0	
	K1028		Utility	24.util58	site0	
	K1029		Utility	24.util115	site0	
	K1030		Utility	24.util104	site0	
	K1031		Utility	24.util6	site0	
	K1032		Utility	24.util11	site0	
	K1033		Utility	24.util34	site0	
	K1034		Utility	24.util53	site0	
	K1035		Utility	24.util15	site0	
	K1036		Utility	24.util4	site0	
	K1037		Utility	24.util3	site0	
	K1038		Utility	24.util59	site0	
	K1039		Utility	24.util49	site0	
	K1040		Utility	24.util124	site0	
	K1041		Utility	24.util56	site0	
	K1042		Utility	24.util113	site0	
	K1043		Utility	24.util127	site0	
	K1044		Utility	24.util106	site0	
