index	block	reg address	reg link	reg name	field name	field width	field offset	field position	field access	field formula	isdeterministic	type	istestmode	isotp	otpowner	otpkey	readback value	hw reset value	comments	
13	VIRTUAL	0X1081	html	VIRTUAL_STATUS_STATUS_B	STA_PMIC_ON	1	4	4	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
14	FABRIC	0X3200	html	FABRIC_AHB_FABRIC_RMWU_MAIN_EN	RMWU_MAIN_EN	1	0	0	WU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
15	FABRIC	0X3201	html	FABRIC_AHB_FABRIC_RMWU_MODE	RMWU_MODE	2	0	1:0	WU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
16	FABRIC	0X3202	html	FABRIC_AHB_FABRIC_RMWU_WRMASK	RMWU_WRMASK	8	0	7:0	WU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
17	FABRIC	0X3208	html	FABRIC_AHB_FABRIC_CONTROL	REG_ACC_FAIL_EN	1	0	0	RW	NA	TRUE	TBD	TRUE	FALSE	NA	NA	SOI	0X0	
18	FABRIC	0X3209	html	FABRIC_AHB_FABRIC_STATUS	REG_ACC_FAIL_INFO	3	1	3:1	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
19	FABRIC	0X3209	html	FABRIC_AHB_FABRIC_STATUS	REG_ACC_FAIL_MASTER	4	4	7:4	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
20	FABRIC	0X320A	html	FABRIC_AHB_FABRIC_STATUS1	REG_ACC_FAIL_SLAVE	6	0	5:0	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
21	FABRIC	0X320B	html	FABRIC_AHB_FABRIC_STATUS2	REG_ACC_FAIL_ADDR_MSB	8	0	7:0	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
22	FABRIC	0X320C	html	FABRIC_AHB_FABRIC_STATUS3	REG_ACC_FAIL_ADDR_LSB	8	0	7:0	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
23	SYS_CTRL	0X3300	html	SYS_CTRL_FLL_CFG_FLLDACSH_REG	START_H	1	0	0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_START_H_1	SOO	0X1	
24	SYS_CTRL	0X3301	html	SYS_CTRL_FLL_CFG_FLLDACSL_REG	START_L	8	0	7:0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_START_L_2	SOO	0X2C	
25	SYS_CTRL	0X3302	html	SYS_CTRL_FLL_CFG_FLL_CFG1_REG	FLL_AON	1	0	0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_FLL_AON_3	SOO	0X0	
26	SYS_CTRL	0X3302	html	SYS_CTRL_FLL_CFG_FLL_CFG1_REG	D_SEL_DCDC_CLK	1	1	1	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_D_SEL_DCDC_CLK_3	SOO	0X0	
27	SYS_CTRL	0X3302	html	SYS_CTRL_FLL_CFG_FLL_CFG1_REG	FLL_ON_32MEG	1	2	2	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_FLL_ON_32MEG_3	SOO	0X0	
28	SYS_CTRL	0X3302	html	SYS_CTRL_FLL_CFG_FLL_CFG1_REG	D_DOUBLE_DCDC_96MEG	1	3	3	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_D_DOUBLE_DCDC_96MEG_3	SOO	0X0	
29	SYS_CTRL	0X3303	html	SYS_CTRL_FLL_CFG_FLLCTRL_REG	REF_CLK_SEL	1	3	3	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
30	SYS_CTRL	0X3303	html	SYS_CTRL_FLL_CFG_FLLCTRL_REG	MULT_MINUS_ONE	4	4	7:4	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
31	SYS_CTRL	0X3304	html	SYS_CTRL_FLL_CFG_FLLDAC_STATUSL_REG	DAC_L	8	0	7:0	RU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X2C	
32	SYS_CTRL	0X3305	html	SYS_CTRL_FLL_CFG_FLLDAC_STATUSH_REG	DAC_H	1	0	0	RU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X1	
33	SYS_CTRL	0X3306	html	SYS_CTRL_FLL_CFG_FLLSTATUS_REG	FLL_LCK	1	0	0	RU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
34	SYS_CTRL	0X3306	html	SYS_CTRL_FLL_CFG_FLLSTATUS_REG	FLL_EN	1	1	1	RU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
35	SYS_CTRL	0X3308	html	SYS_CTRL_FLL_CFG_FLL_LOW_LIMIT_DACSH_REG	START_H	1	0	0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_START_H_4	SOO	0X0	
36	SYS_CTRL	0X3309	html	SYS_CTRL_FLL_CFG_FLL_LOW_LIMIT_DACSL_REG	START_L	8	0	7:0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_START_L_5	SOO	0X0	
37	SYS_CTRL	0X330A	html	SYS_CTRL_FLL_CFG_FLL_UP_LIMIT_DACSH_REG	START_H	1	0	0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_START_H_6	SOO	0X1	
38	SYS_CTRL	0X330B	html	SYS_CTRL_FLL_CFG_FLL_UP_LIMIT_DACSL_REG	START_L	8	0	7:0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_START_L_7	SOO	0XFF	
39	SYS_CTRL	0X330C	html	SYS_CTRL_FLL_CFG_FLL_CFG	RES	2	0	1:0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_RES_8	SOO	0X0	
40	SYS_CTRL	0X330D	html	SYS_CTRL_FLL_CFG_FLLFRQDIV_REG	FREQ_TUNE	8	0	7:0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_FREQ_TUNE_9	SOO	0X1F	
41	SYS_CTRL	0X3320	html	SYS_CTRL_SFSM_BG_EN_TO_IREF_EN_CNT_REG	TIMER	8	0	7:0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_TIMER_10	SOO	0XFF	
42	SYS_CTRL	0X3321	html	SYS_CTRL_SFSM_BG_INIT_FS_CNT_REG	TIMER	8	0	7:0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_TIMER_11	SOO	0XFF	
43	SYS_CTRL	0X3322	html	SYS_CTRL_SFSM_BG_FS_CNT_REG	TIMER	8	0	7:0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_TIMER_12	SOO	0XFF	
44	SYS_CTRL	0X3323	html	SYS_CTRL_SFSM_IREF_CNT_REG	TIMER	8	0	7:0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_TIMER_13	SOO	0XFF	
45	SYS_CTRL	0X3324	html	SYS_CTRL_SFSM_BANDGAP_CTRL_REG	GRANA_REF_BIAS_FG	3	0	2:0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_GRANA_REF_BIAS_FG_14	SOO	0X2	
46	SYS_CTRL	0X3324	html	SYS_CTRL_SFSM_BANDGAP_CTRL_REG	GRANA_REF_TM_NTAT	1	3	3	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_GRANA_REF_TM_NTAT_14	SOO	0X0	
47	SYS_CTRL	0X3324	html	SYS_CTRL_SFSM_BANDGAP_CTRL_REG	GRANA_REF_TC_NTAT	3	4	6:4	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_GRANA_REF_TC_NTAT_14	SOO	0X7	
48	SYS_CTRL	0X3324	html	SYS_CTRL_SFSM_BANDGAP_CTRL_REG	GRANA_REF_VREG_FORCE_OFF	1	7	7	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_GRANA_REF_VREG_FORCE_OFF_14	SOO	0X0	
49	SYS_CTRL	0X3325	html	SYS_CTRL_SFSM_BANDGAP_DBG2_REG	GRANA_REF_EN_EXT_BIAS	1	0	0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
50	SYS_CTRL	0X3325	html	SYS_CTRL_SFSM_BANDGAP_DBG2_REG	GRANA_REF_BUF_LEAK_TST_EN	1	1	1	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
51	SYS_CTRL	0X3325	html	SYS_CTRL_SFSM_BANDGAP_DBG2_REG	GRANA_REF_BUF_FB_SW	1	2	2	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
52	SYS_CTRL	0X3325	html	SYS_CTRL_SFSM_BANDGAP_DBG2_REG	IREF_AVAIL_BYP	1	3	3	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
53	SYS_CTRL	0X3326	html	SYS_CTRL_SFSM_GRANA_REF_DFT	GRANA_REF_DFT	8	0	7:0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
54	SYS_CTRL	0X3327	html	SYS_CTRL_SFSM_GRANA_REF_SPARE	GRANA_REF_SPARE	8	0	7:0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
55	SYS_CTRL	0X3328	html	SYS_CTRL_SFSM_GRANA_REF_VREG_VSEL	GRANA_REF_VREG_VSEL	8	0	7:0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
56	SYS_CTRL	0X3329	html	SYS_CTRL_SFSM_BANDGAP_DBG3_REG	TST_REF_REFBUF_EN	1	1	1	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
57	SYS_CTRL	0X3329	html	SYS_CTRL_SFSM_BANDGAP_DBG3_REG	TST_REF_IREF_EN	1	5	5	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
58	SYS_CTRL	0X3329	html	SYS_CTRL_SFSM_BANDGAP_DBG3_REG	TST_REF_TST_EN	1	6	6	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
59	SYS_CTRL	0X3329	html	SYS_CTRL_SFSM_BANDGAP_DBG3_REG	TST_REF_FS_A	1	7	7	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
60	SYS_CTRL	0X332A	html	SYS_CTRL_SFSM_BG_STATUS_REG	VREF_AVAIL	1	0	0	RU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
61	SYS_CTRL	0X332A	html	SYS_CTRL_SFSM_BG_STATUS_REG	VREF_TRIMMED	1	1	1	RU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
62	SYS_CTRL	0X332A	html	SYS_CTRL_SFSM_BG_STATUS_REG	IREF_AVAIL	1	2	2	RU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
63	SYS_CTRL	0X332D	html	SYS_CTRL_SFSM_GRANA_REF_TRIM_VBG_REG	GRANA_REF_TRIM_VBG	8	0	7:0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_GRANA_REF_TRIM_VBG_15	SOO	0X34	
64	SYS_CTRL	0X332E	html	SYS_CTRL_SFSM_GRANA_VREF_TRIM_VREF_REG	GRANA_VREF_TRIM_VREF	8	0	7:0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_GRANA_VREF_TRIM_VREF_16	SOO	0X80	
65	SYS_CTRL	0X332F	html	SYS_CTRL_SFSM_GRANA_REF_TRIM_IREF_REG	GRANA_REF_TRIM_IREF	8	0	7:0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_GRANA_REF_TRIM_IREF_17	SOO	0X80	
66	SYS_CTRL	0X3340	html	SYS_CTRL_SYS_MISC_CTRL_UVLO_CTRL_REG	UVLO_EN	1	0	0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_UVLO_EN_18	SOO	0X0	
67	SYS_CTRL	0X3340	html	SYS_CTRL_SYS_MISC_CTRL_UVLO_CTRL_REG	GRANA_UVLO_EN_TST	1	1	1	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_GRANA_UVLO_EN_TST_18	SOO	0X0	
68	SYS_CTRL	0X3340	html	SYS_CTRL_SYS_MISC_CTRL_UVLO_CTRL_REG	UVLO_THR	4	2	5:2	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_UVLO_THR_18	SOO	0X4	
69	SYS_CTRL	0X3341	html	SYS_CTRL_SYS_MISC_CTRL_PMIC_STATE_CFG_REG	FSM_ALIVE	1	0	0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X1	
70	SYS_CTRL	0X3341	html	SYS_CTRL_SYS_MISC_CTRL_PMIC_STATE_CFG_REG	FSM_RES	7	1	7:1	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
71	SYS_CTRL	0X3342	html	SYS_CTRL_SYS_MISC_CTRL_UCE_CTRL_REG	NVM_LOAD_REQ	1	0	0	WU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
72	SYS_CTRL	0X3342	html	SYS_CTRL_SYS_MISC_CTRL_UCE_CTRL_REG	COLD_OFF_REQ	1	1	1	WU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
73	SYS_CTRL	0X3342	html	SYS_CTRL_SYS_MISC_CTRL_UCE_CTRL_REG	RES_REQ	1	2	2	WU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
74	SYS_CTRL	0X3342	html	SYS_CTRL_SYS_MISC_CTRL_UCE_CTRL_REG	RES1_REQ	1	3	3	WU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
75	SYS_CTRL	0X3342	html	SYS_CTRL_SYS_MISC_CTRL_UCE_CTRL_REG	RES2_REQ	1	4	4	WU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
76	SYS_CTRL	0X3343	html	SYS_CTRL_SYS_MISC_CTRL_MISC_STATUS_REG	NVM_LOAD_DONE	1	0	0	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
77	SYS_CTRL	0X3343	html	SYS_CTRL_SYS_MISC_CTRL_MISC_STATUS_REG	NVM_ONGOING	1	1	1	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
78	SYS_CTRL	0X3343	html	SYS_CTRL_SYS_MISC_CTRL_MISC_STATUS_REG	UVLO_CMP_OUT	1	2	2	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
79	SYS_CTRL	0X3344	html	SYS_CTRL_SYS_MISC_CTRL_MISC_STATUS_SPARE_REG	SPARE1	1	0	0	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
80	SYS_CTRL	0X3344	html	SYS_CTRL_SYS_MISC_CTRL_MISC_STATUS_SPARE_REG	SPARE2	1	1	1	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
81	SYS_CTRL	0X3344	html	SYS_CTRL_SYS_MISC_CTRL_MISC_STATUS_SPARE_REG	SPARE3	6	2	7:2	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
82	SYS_CTRL	0X3345	html	SYS_CTRL_SYS_MISC_CTRL_OTP_REV	OTP_REVISION	5	0	4:0	RW	NA	TRUE	C	FALSE	TRUE	design	OTP_SYS_CTRL_OTP_REVISION_19	SOO	0X0	
83	SYS_CTRL	0X3345	html	SYS_CTRL_SYS_MISC_CTRL_OTP_REV	OTP_CONSUMER	3	5	7:5	RW	NA	TRUE	C	FALSE	TRUE	design	OTP_SYS_CTRL_OTP_CONSUMER_19	SOO	0X0	
84	SYS_CTRL	0X3346	html	SYS_CTRL_SYS_MISC_CTRL_PLATFORM_ID	PLATFORM_ID	5	0	4:0	RW	NA	TRUE	TBD	FALSE	TRUE	system	OTP_SYS_CTRL_PLATFORM_ID_20	SOO	0X0	
85	SYS_CTRL	0X3360	html	SYS_CTRL_TEST_TST_STARTUP_REG	TST_NVM_LOAD_DONE	1	2	2	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
86	SYS_CTRL	0X3361	html	SYS_CTRL_TEST_TST_FREQ_SEL0_REG	TST_SEL0_CLK	5	0	4:0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
87	SYS_CTRL	0X3362	html	SYS_CTRL_TEST_TST_FREQ_SEL1_REG	TST_SEL1_CLK	5	0	4:0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
88	SYS_CTRL	0X3363	html	SYS_CTRL_TEST_TST_COUNT0_CTRL_REG	TST_COUNT0_RESET	1	0	0	WU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
89	SYS_CTRL	0X3363	html	SYS_CTRL_TEST_TST_COUNT0_CTRL_REG	TST_COUNT0_ENABLE	1	1	1	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
90	SYS_CTRL	0X3363	html	SYS_CTRL_TEST_TST_COUNT0_CTRL_REG	TST_COUNT0_REF_CLK_SEL	1	2	2	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
91	SYS_CTRL	0X3363	html	SYS_CTRL_TEST_TST_COUNT0_CTRL_REG	TST_COUNT0_ALT_REF_CLK	1	3	3	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
92	SYS_CTRL	0X3364	html	SYS_CTRL_TEST_TST_COUNT01_TIME_REG	TST_COUNT0_TIME_H	3	0	2:0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
93	SYS_CTRL	0X3365	html	SYS_CTRL_TEST_TST_COUNT00_TIME_REG	TST_COUNT0_TIME_L	8	0	7:0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
94	SYS_CTRL	0X3366	html	SYS_CTRL_TEST_TST_COUNT0_0_REG	TST_COUNT0_0	8	0	7:0	RU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
95	SYS_CTRL	0X3367	html	SYS_CTRL_TEST_TST_COUNT0_1_REG	TST_COUNT0_1	8	0	7:0	RU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
96	SYS_CTRL	0X3368	html	SYS_CTRL_TEST_TST_COUNT0_2_REG	TST_COUNT0_2	8	0	7:0	RU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
97	SYS_CTRL	0X3369	html	SYS_CTRL_TEST_TST_COUNT1_CTRL_REG	TST_COUNT1_RESET	1	0	0	WU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
98	SYS_CTRL	0X3369	html	SYS_CTRL_TEST_TST_COUNT1_CTRL_REG	TST_COUNT1_ENABLE	1	1	1	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
99	SYS_CTRL	0X3369	html	SYS_CTRL_TEST_TST_COUNT1_CTRL_REG	TST_COUNT1_REF_CLK_SEL	1	2	2	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
100	SYS_CTRL	0X336A	html	SYS_CTRL_TEST_TST_COUNT11_TIME_REG	TST_COUNT1_TIME_H	3	0	2:0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
101	SYS_CTRL	0X336B	html	SYS_CTRL_TEST_TST_COUNT10_TIME_REG	TST_COUNT1_TIME_L	8	0	7:0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
102	SYS_CTRL	0X336C	html	SYS_CTRL_TEST_TST_COUNT1_0_REG	TST_COUNT1_0	8	0	7:0	RU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
103	SYS_CTRL	0X336D	html	SYS_CTRL_TEST_TST_COUNT1_1_REG	TST_COUNT1_1	8	0	7:0	RU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
104	SYS_CTRL	0X336E	html	SYS_CTRL_TEST_TST_COUNT1_2_REG	TST_COUNT1_2	8	0	7:0	RU	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
105	SYS_CTRL	0X336F	html	SYS_CTRL_TEST_TST_COUNT_CLK_RES	RES0	4	0	3:0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
106	SYS_CTRL	0X336F	html	SYS_CTRL_TEST_TST_COUNT_CLK_RES	RES1	4	4	7:4	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
107	SYS_CTRL	0X3371	html	SYS_CTRL_TEST_TST_SPEEDMON_REG	SPEEDMON0_EN	2	0	1:0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
108	SYS_CTRL	0X3371	html	SYS_CTRL_TEST_TST_SPEEDMON_REG	SPEEDMON1_EN	2	2	3:2	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
109	SYS_CTRL	0X337A	html	SYS_CTRL_TEST_TST_TMP_TUNE_REG	T_TUNE	8	0	7:0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
110	SYS_CTRL	0X337B	html	SYS_CTRL_TEST_TST_TEMPSAR_CTRL_REG	SEL_SAR_TRIG	1	0	0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
111	SYS_CTRL	0X337B	html	SYS_CTRL_TEST_TST_TEMPSAR_CTRL_REG	SAR_BYPASS	1	1	1	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
112	SYS_CTRL	0X337B	html	SYS_CTRL_TEST_TST_TEMPSAR_CTRL_REG	T_TEST	2	2	3:2	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
113	SYS_CTRL	0X337B	html	SYS_CTRL_TEST_TST_TEMPSAR_CTRL_REG	COMP_EN	1	4	4	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
114	SYS_CTRL	0X337C	html	SYS_CTRL_TEST_TST_TEMPSAR_DATA_REG	TEMP_SENS_TEST_DATA	8	0	7:0	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
115	SYS_CTRL	0X337D	html	SYS_CTRL_TEST_TST_TEMP_COMP_DATA_REG	TEMP_SENS_COMP_DATA	1	0	0	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
116	SYS_CTRL	0X3380	html	SYS_CTRL_DEBUG_GRANA_TEST_MUX_EN_REG	MUX_EN	1	0	0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
117	SYS_CTRL	0X3381	html	SYS_CTRL_DEBUG_GRANA_TEST_MUX_SEL_REG	MUX_SEL	2	0	1:0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
118	SYS_CTRL	0X338F	html	SYS_CTRL_DEBUG_GRANA_TEST_MUX_TOP_EN_REG	MUX_TOP_EN	1	0	0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
119	SYS_CTRL	0X3390	html	SYS_CTRL_DEBUG_GRANA_TEST_MUX_TOP_SEL_REG	MUX_TOP_SEL	8	0	7:0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
120	SYS_CTRL	0X33A0	html	SYS_CTRL_THERM_TEMPSENSCTL1_REG	TS_ACTIVEFRQS	3	0	2:0	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_TS_ACTIVEFRQS_21	SOO	0X1	
121	SYS_CTRL	0X33A0	html	SYS_CTRL_THERM_TEMPSENSCTL1_REG	TS_EN_RISE_MEAS	1	3	3	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_TS_EN_RISE_MEAS_21	SOO	0X0	
122	SYS_CTRL	0X33A0	html	SYS_CTRL_THERM_TEMPSENSCTL1_REG	TS_SAR_REG_UP_EN	1	4	4	RW	NA	TRUE	TBD	FALSE	TRUE	-	OTP_SYS_CTRL_TS_SAR_REG_UP_EN_21	SOO	0X0	
123	SYS_CTRL	0X33A1	html	SYS_CTRL_THERM_TEMPSENSCTL2_REG	TS_EN	1	0	0	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
124	SYS_CTRL	0X33A1	html	SYS_CTRL_THERM_TEMPSENSCTL2_REG	TS_AVG_EN	1	1	1	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
125	SYS_CTRL	0X33A1	html	SYS_CTRL_THERM_TEMPSENSCTL2_REG	TS_AVG	2	2	3:2	RW	NA	TRUE	TBD	FALSE	FALSE	NA	NA	SOI	0X0	
